算命,算命,suànmìng,fortune-telling,Difficult Words
结果,結果,jiéguǒ,results,Difficult Words
化验,化驗,huàyàn,lab test,Difficult Words
终于,終於,zhōngyú,at last,Difficult Words
全,全,quán,entirely,Difficult Words
街上,街上,jiēshang,on the street,Difficult Words
垃圾,垃圾,lājī,trash; refuse; garbage,Difficult Words
窗户,窗戶,chuānghu,window,Difficult Words
信心,信心,xìnxīn,confidence,Difficult Words
短信,短信,duǎnxìn,text message,Difficult Words
借,借,jiè,to lend,Difficult Words
记不住,記不住,jìbùzhù,to not be able to remember,Difficult Words
乡下,鄉下,xiāngxià,countryside,Difficult Words
发票,發票,fāpiào,receipt,Difficult Words
输,輸,shū,to enter,"Uncategorized,Difficult Words"
现金,現金,xiànjīn,cash,"Uncategorized,Difficult Words"
乘客,乘客,chéngkè,passenger,"Uncategorized,Difficult Words"
观众,觀衆,guānzhòng,audience,"Uncategorized,Difficult Words"
祝,祝,zhù,to wish,"Uncategorized,Difficult Words"
尽管,盡管,jǐnguǎn,to feel free,"Uncategorized,Difficult Words"
发音,發音,fāyīn,pronunciation,Difficult Words
心意,心意,xīnyì,for one's heart to be in it; sincerity,Difficult Words
着急,著急,zháojí,be anxious,Difficult Words
邮件,郵件,yóujiàn,email,Difficult Words
首,首,shǒu,classifier for songs,Difficult Words
实现,實現,shíxiàn,to fulfill,Difficult Words
艺术,藝術,yìshù,art,Difficult Words
抽烟,抽煙,chōuyān,"to smoke (a cigarette, tobacco)",Difficult Words
筋,筋,jīn,tendon,"Food & Drink,Difficult Words"
押金,押金,yājīn,deposit,Difficult Words
预定,預定,yùdìng,schedule in advance,"Time & Date,Difficult Words"
机场,機場,jīchǎng,airport,"Places, Location,Difficult Words"
清楚,清楚,qīngchu,clearly,Difficult Words
激动,激動,jīdòng,excited; animated,Difficult Words
划算,划算,huásuàn,to be worth the price,"Shopping,Difficult Words"
顾客,顧客,gùkè,customer,"Shopping,Difficult Words"
试穿,試穿,shì chuān,to try(clothes),"Shopping,Difficult Words"
随便,隨便,suíbiàn,as one wishes,Difficult Words
决定,決定,juédìng,to decide,Difficult Words
瘦,瘦,shòu,thin,"Characters,Difficult Words"
禁止,禁止,jìn zhǐ,forbidden,Difficult Words
逛街,逛街,guàngjiē,to stroll down the street,Difficult Words
