袖子,袖子,xiùzi,sleeve,
领子,領子,lǐngzi,collar,
故意,故意,gùyì,intentionally,
直,直,zhí,straight,
否则,否則,fǒuzé,otherwise,
提醒,提醒,tíxǐng,to remind,
烫衣板,燙衣板,tàngyībǎn,ironing board,
大概,大概,dàgài,roughly; approximately,
皱,皺,zhòu,wrinkled,
流行,流行,liúxíng,popular,
电熨斗,電熨斗,diànyùndǒu,iron,
烫,燙,tàng,to iron,
钻石项链,鑽石項鍊,zuànshíxiàngliàn,diamond necklace,
珍珠项链,珍珠項鏈,zhēnzhūxiàngliàn,pearl necklace,
锅子,鍋子,guōzi,pot,
旅客,旅客,lǚkè,traveler,
西装,西裝,xīzhuāng,suit; Western-style clothes,
手环,手環,shǒuhuán,bracelet,
手链,手鍊,shǒuliàn,bracelet,
还价,還價,huánjià,to bargain,
规定,規定,guīdìng,rules,
连衣裙,連衣裙,liányīqún,dress,
俄语,俄語,éyǔ,Russian,
领养,領養,lǐngyǎng,to adopt,
脾气,脾氣,píqì,temperament,
看法,看法,kànfǎ,way of looking at a thing; view; opinion,
改变,改變,gǎibiàn,to change,
非要,非要,fēiyào,absolutely insist on,
玩下去,玩下去,wán xiàqu,to play around,
前途,前途,qiántú,prospects; future outlook; journey,
损失,損失,sǔnshī,loss; damage,
决不能,決不能,juébùnéng,not at all,
怪兽,怪獸,guàishòu,monster,
惨,慘,cǎn,terrible; bad,
用功,用功,yònggōng,hard-working,
打怪,打怪,dǎguài,to kill monsters (term in online gaming),
组队,組隊,zǔduì,to form a team,
企鹅,企鵝,qǐé,penguin,
擦,擦,cā,to wipe,
百老汇,百老匯,bǎilǎohuì,Broadway,
音乐剧,音樂劇,yīnyuèjù,musical,
气球,氣球,qìqiú,balloon,
表演,表演,biǎoyǎn,performance; to perform,
海豚,海豚,hǎitún,dolphin,
海洋,海洋,hǎiyáng,ocean,
讨厌,討厭,tǎoyàn,to hate,
有道理,有道理,yǒudàolǐ,to make sense,
准时,準時,zhǔnshí,on time; punctual; on schedule,
没想到,沒想到,méixiǎngdào,to have no idea,
遇到,遇到,yùdào,to encounter,
拍电影,拍電影,pāidiànyǐng,to shoot a movie,
报告,報告,bàogào,report,
晒衣服,曬衣服,shàiyīfú,to hang out clothes,
晒太阳,曬太陽,shàitàiyáng,sunbathe,
修,修,xiū,to repair,
好心人,好心人,hǎoxīnrén,nice person,
晒,曬,shài,to bask/to tan,
房租,房租,fángzū,rent,
借条,借條,jiètiáo,IOU note,
过会,過會,guòhuì,in a bit (of time),
贷款,貸款,dàikuǎn,loan,
首付,首付,shǒufù,down payment,
过期,過期,guòqī,to expire,
失败,失敗,shībài,to lose,
卫生巾,衛生巾,wèishēngjīn,feminine napkin,
棉条,棉條,miántiáo,tampons,
机会,機會,jīhuì,opportunity,
骨碟,骨碟,gǔdié,small plate for bones etc.,
满,滿,mǎn,to fill; full; filled,
陪,陪,péi,to accompany; to keep sb company; to assist,
碰,碰,pèng,to touch,
洗碗,洗碗,xǐwǎn,to wash up dishes,
娘,娘,niáng,slang to mean girly when describing men,
理发店,理髮店,lǐfàdiàn,"barbershop, hair salon",
烫发,燙髮,tàngfà,to get a perm,
染发,染髮,rǎnfà,to dye one's hair,
理发师,理髮師,lǐfàshī,hairstylist,
