伤心,傷心,shāngxīn,to be hurt,
去世,去世,qùshì,to pass away,
孕妇,孕婦,yùnfù,pregnant woman,
傻,傻,shǎ,foolish,
校园,校園,xiàoyuán,campus,
景点,景點,jǐngdiǎn,scenic spot,
教学大楼,教學大樓,jiàoxuédàlóu,classroom building,
操场,操場,cāochǎng,playground,
宿舍,宿舍,sùshè,dormitory,
食堂,食堂,shítáng,dining hall,
参观,參觀,cānguān,to look around; to tour; to visit,
包裹,包裹,bāoguǒ,package,
束,束,shù,bouquet (measure word),
浇,澆,jiāo,to pour,
夜店,夜店,yèdiàn,nightclub,
新娘,新娘,xīnniáng,bride,
铅笔,鉛筆,qiānbǐ,lead pencil,
原子笔,原子筆,yuánzǐbǐ,ball point pen,
手指,手指,shǒuzhǐ,finger,
表姐,表姐,biǎojiě,older female cousin (also term of address),
指,指,zhǐ,to point,
三胞胎,三胞胎,sānbāotāi,triplets,
四胞胎,四胞胎,sìbāotāi,quadruplets,
龙凤胎,龍鳳胎,lóngfèngtāi,twins of mixed sex,
拦截,攔截,lánjié,to tackle,
传球,傳球,chuánqiú,to pass,
精彩,精彩,jīngcǎi,wonderful,
橄榄,橄欖,gǎnlǎn,olive,
决赛,決賽,juésài,finals,
在乎,在乎,zàihu,to care about,
伤口,傷口,shāngkǒu,"cut, wound",
破了,破了,pò le,"to be broken, worn out",
膝盖,膝蓋,xīgài,knee,
方向感,方向感,fāngxiànggǎn,sense of direction,
方向,方向,fāngxiàng,direction,
奥运会,奧運會,Aòyùnhuì,Olympics,
保重,保重,bǎozhòng,to take care of oneself,
卡片,卡片,kǎpiàn,card,
照相机,照相機,zhàoxiàngjī,camera,
横,橫,héng,horizontal,
签证,簽證,qiānzhèng,visa; certificate; to certify,
将来,將來,jiānglái,the future,
托运,托運,tuōyùn,to check,
道歉,道歉,dàoqiàn,to apologize,
辛苦,辛苦,xīnkǔ,hard work,
苦,苦,kǔ,bitter,
咳嗽,咳嗽,késou,cough,
租,租,zū,to rent,
无数次,無數次,wúshùcì,countless times,
合作,合作,hézuò,to cooperate; to collaborate; to work together,
大方,大方,dàfang,magnanimous; natural; poised; generous,
工资,工資,gōngzī,salary,
气温,氣溫,qìwēn,air temperature,
港币,港幣,Gǎngbì,Hong Kong dollar,
悉尼,悉尼,Xīní,Sydney,
宾馆,賓館,bīnguǎn,guesthouse,
争,爭,zhēng,to struggle,
学霸,學霸,xuébà,top student,
成绩,成績,chéngjì,achievement; performance records; grades,
子弹,子彈,zǐdàn,bullet,
从今以后,從今以後,cóngjīnyǐhòu,from now on,
赚,賺,zhuàn,to earn,
危险,危險,wēixiǎn,dangerous,
厨师,廚師,chúshī,chef,
名厨,名廚,míngchú,famous chef,
成熟,成熟,chéngshóu,mature,
任性,任性,rènxìng,willful; headstrong,
款式,款式,kuǎnshì,model,
式样,式樣,shìyàng,style,
项链,項鏈,xiàngliàn,necklace,
葡萄干,葡萄乾,pútaogān,raisin,
新鲜,新鮮,xīnxiān,"fresh (experience, food etc); freshness; novel",
中奖,中獎,zhòngjiǎng,to win a prize,
走音,走音,zǒuyīn,off-key,
带走,帶走,dàizǒu,to take out,
心情,心情,xīn qíng,mood,
购物,購物,gòuwù,shopping,
拍照,拍照,pāizhào,to take a photo,
工厂,工廠,gōngchǎng,factory,
彩虹,彩虹,cǎihóng,rainbow,
紧张,緊張,jǐnzhāng,tense,
香水,香水,xiāngshuǐ,perfume,
单程,單程,dānchéng,one-way,
退,退,tuì,"to return, to give back",
标准间,標準間,biāozhǔn jiān,standard room,
经验,經驗,jīngyàn,experience,
眼镜,眼鏡,yǎnjìng,spectacles; eyeglasses,
眼睛,眼睛,yǎnjīng,eye,
宿醉,宿醉,sùzuì,hangover,
纠正,糾正,jiūzhèng,to correct,
上不了网,上不了網,shàng buliǎo wǎng,to be unable to get online,
无线上网,無線上網,wúxiàn shàngwǎng,wireless internet access,
充值,充值,chōngzhí,to recharge; to replenish,
质量,質量,zhìliàng,quality; (physics) mass,
除,除,chú,to divide,
乘,乘,chéng,to multiply,
减,減,jiǎn,to subtract,
糊涂,糊涂,hútu,confused,
