前女友,前女友,qiánnǚyǒu,ex-girlfriend,
醒来,醒來,xǐnglái,to wake up,
日文,日文,Rìwén,Japanese (language),
一...就,一...就,yī...jiù...,Once...then...,
兴奋,興奮,xīngfèn,excited,
毕业,畢業,bìyè,graduation; to graduate; to finish school,
期待,期待,qīdài,to look forward to,
暑假,暑假,shǔjià,summer vacation,
就要,就要,jiùyào,about to; going to,
午觉,午覺,wǔjiào,siesta,
当上,當上,dāngshang,to take up duty as; to assume a position; to assume,
卫生间,衛生間,wèishēngjiān,bathroom; toilet; WC,
充电器,充電器,chōngdiànqì,battery charger,
没电,沒電,méidiàn,discharged; flat; dead (of batteries),
分手,分手,fēnshǒu,to split up,
盒饭,盒飯,héfàn,boxed meal,
旋转,旋轉,xuánzhuǎn,"to revolve, to turn",
过山车,過山車,guòshānchē,rollercoaster,
爸妈,爸媽,bàmā,dad and mom,
邀请,邀請,yāoqǐng,to invite; invitation,
建议,建議,jiànyì,to propose; to suggest; to recommend,
海边,海邊,hǎibiān,coast; seaside; seashore,
欣赏,欣賞,xīnshǎng,to appreciate,
爵士,爵士,juéshì,jazz,
球类,球類,qiúlèi,ball sports,
友善,友善,yǒushàn,friendly,
除了,除了,chúle,besides; apart from (... also...); in addition to,
全都,全都,quándōu,all,
都不,都不,dōubù,all not,
牛肉面,牛肉麵,niúròumiàn,beef noodle soup,
太阳镜,太陽鏡,tàiyángjìng,sunglasses,
兰姆,蘭姆,lánmǔ,rum (beverage) (loanword),
耳环,耳環,ěrhuán,earrings,
其实,其實,qíshí,in fact,
电池,電池,diànchí,battery,
吸管,吸管,xīguǎn,straw,
茶包,茶包,chábāo,tea bag,
伤心,傷心,shāngxīn,to be hurt,
去世,去世,qùshì,to pass away,
